Tree ID,Site,Species,Root-shoot ratio,Total Biomass (gm),ANP Native,Biome,Range,Gymno/Angio,Range Gymno/Angio,Alive or Dead,Stem Height (2017 May),Stem Height (2019 August),Relative Height (%),Stem Dia (2017 May),Stem dia (2019 August),Relative Dia (%)
N5,1,pinta,4.375,6.93,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,24.5,11.1,-54.69387755,6.335,8.65,36.543015
O1,1,pinvi,0.652173913,9.89,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,15.5,40,158.0645161,2.94,6.625,125.3401361
O2,1,picru,,,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,0,,,,,,
O3,1,abiba,0.631067961,2.93,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,15.6,22.6,44.87179487,2.555,3.95,54.59882583
O4,1,junvi,1.756756757,3.68,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,27,29.8,10.37037037,3.15,3.59,13.96825397
O5,1,pinst,0.697171381,15.72,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,27,45,66.66666667,4.725,6.92,46.45502646
P1,1,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
P2,1,junvi,1.301204819,3.61,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,27.5,30.2,9.818181818,2.975,3.29,10.58823529
P3,1,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
P4,1,queru,0.777777778,3.25,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,27,21.5,-20.37037037,3.465,4.165,20.2020202
P5,1,pruse,1.894736842,4.27,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,52.5,7.6,-85.52380952,3.115,3.585,15.0882825
Q1,1,queru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
Q2,1,robps,0.346529069,1213.15,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,40,243,507.5,4.34,37.47,763.3640553
Q3,1,pruse,1.844827586,5.1,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,61.7,7,-88.6547812,4.27,5,17.09601874
Q4,1,abiba,0.749216301,9.63,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,14.3,23.2,62.23776224,3.15,4.925,56.34920635
Q5,1,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
R2,1,quepr,1.842673869,50.89,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,58.5,77.5,32.47863248,5.95,10.495,76.38655462
R3,1,pinba,0.555704249,71.85,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,39,110,182.0512821,5.775,12.21,111.4285714
R4,1,pinri,0.503064067,40.73,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,32.5,74.1,128,4.9,9.675,97.44897959
R5,1,queal,3.06147541,11.55,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,26.3,38.6,46.76806084,4.655,5.49,17.9377014
A2,2,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
A3,2,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
A4,2,abiba,1.040160643,15.31,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,20.8,27.6,32.69230769,3.325,5.22,56.9924812
A5,2,junvi,1.62804878,20.77,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,32.4,47.5,46.60493827,2.45,5.925,141.8367347
B1,2,aceru,1.163522013,8.18,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,34.6,50.2,45.0867052,4.305,7.57,75.84204413
B2,2,pinvi,0.920993228,14.05,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,10.1,36.7,263.3663366,2.135,5.19,143.0913349
B3,2,pinri,0.582882883,100.87,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,42,83.5,98.80952381,6.23,18.84,202.4077047
B4,2,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
B5,2,picru,1.018726592,9.12,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,14,15.8,12.85714286,3.29,4.55,38.29787234
C1,2,quepr,1.982948847,36.95,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,69,69.4,0.579710145,4.445,8.84,98.87514061
C2,2,pinst,0.962962963,32.31,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,27,44.6,65.18518519,4.655,9.145,96.45542427
C3,2,queru,1.08490566,8.39,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,19,27.8,46.31578947,4.27,5.475,28.22014052
C4,2,queru,2.016393443,9.41,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,17.8,20.5,15.16853933,3.5,4.52,29.14285714
C5,2,abiba,0.859605911,12.14,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,23.8,32.1,34.87394958,3.15,4.64,47.3015873
D1,2,queal,3.634751773,15.75,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,35,33.6,-4,4.305,7.07,64.22764228
D2,2,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
D3,2,picgl,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,18.8,26.1,38.82978723,2,2.98,49
D4,2,quepr,1.71867794,42.37,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,68.7,40.5,-41.04803493,5.425,8.765,61.56682028
D5,2,queal,2.982332155,14.35,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,27,60.4,123.7037037,3.955,3.535,-10.61946903
E1,2,pinri,0.435448578,9.51,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,27,42.7,58.14814815,3.745,8.105,116.4218959
E2,2,quepr,1.943548387,45.96,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,48,45.5,-5.208333333,4.83,8.205,69.8757764
E3,2,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
E4,2,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
E5,2,pinvi,0.885572139,9.06,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,10,26.5,165,2.73,5.33,95.23809524
F1,2,picru,0.421875,13.12,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,18.8,24.2,28.72340426,2.66,5.425,103.9473684
F2,2,robps,0.635847526,25.38,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,16,77.3,383.125,2.59,8.06,211.1969112
F3,2,abiba,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,18.2,22.6,24.17582418,2.87,4.145,44.42508711
F4,2,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
F5,2,pinba,0.356467905,73.21,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,23.2,104,348.2758621,5.95,14.07,136.4705882
F6,2,pruse,1.00300075,30.59,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,60.5,52,-14.04958678,5.11,5.385,5.381604697
G1,2,robps,0.395406053,1592.43,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,38.5,265,588.3116883,7.35,34.65,371.4285714
G2,2,pruse,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
G3,2,picru,,,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,N/A,,,,,,
G4,2,picgl,1.03538175,29.99,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,27.8,39.3,41.36690647,4.2,7.385,75.83333333
G5,2,pinri,0.469230769,5.41,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,17.7,36.5,106.2146893,2.625,4.085,55.61904762
G6,2,queru,1.679153094,21.11,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,29.8,36.6,22.81879195,4.62,6.72,45.45454545
H1,2,pinst,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,N/A,,,,,,
H2,2,junvi,1.259459459,31.62,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,41,69.5,69.51219512,3.5,7.195,105.5714286
H3,2,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
H4,2,robps,0.334906402,899.42,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,40,230,475,3.955,30.44,669.6586599
H5,2,pruse,1.280555556,9.67,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,58,18.5,-68.10344828,3.605,4.37,21.22052705
H6,2,pinvi,0.675824176,14.75,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,12.5,42.5,240,2.73,4.96,81.68498168
I1,2,pinba,0.407462687,94.06,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,26,104.5,301.9230769,7.21,16.305,126.1442441
I2,2,pinba,0.423728814,104.96,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,24.5,125.5,412.244898,6.055,16.215,167.7952106
I3,2,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
I4,2,pinst,0.508967223,41.23,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,34,55,61.76470588,5.46,10.09,84.7985348
I5,2,junvi,1.112903226,2.77,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,14,19.5,39.28571429,1.96,2.545,29.84693878
I6,2,picgl,0.462705436,22.52,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,23,39.5,71.73913043,3.22,7.36,128.5714286
J1,2,junvi,1.119298246,13.74,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,34.5,46.5,34.7826087,3.08,5.44,76.62337662
J2,2,pinst,0.79748062,36.23,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,25.3,49,93.67588933,4.97,9.315,87.42454728
J3,2,pinvi,0.366834171,6.21,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,7.8,42,438.4615385,2.24,4.795,114.0625
J4,2,picgl,0.708609272,3.69,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,13.1,21.5,64.1221374,2.66,2.815,5.827067669
J5,2,pinba,0.507612005,57.09,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,21.5,96.5,348.8372093,5.95,12.04,102.3529412
J6,2,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
K1,2,pruse,1.516793066,26.13,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,72.4,89.5,23.61878453,5.145,6.94,34.88824101
K2,2,queal,2.337209302,9.84,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,25.8,32,24.03100775,3.745,3.575,-4.539385848
K3,2,pinta,0.489583333,13.4,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,21.2,45,112.2641509,5.285,7.595,43.70860927
K4,2,pinri,0.834179357,20.89,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,20.1,47,133.8308458,3.36,7.74,130.3571429
K5,2,picru,0.868421053,3.78,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,19.5,21.5,10.25641026,2.8,3.33,18.92857143
K6,2,pinst,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,28.7,37,28.91986063,6.3,6.835,8.492063492
L1,2,picgl,0.722748815,11.3,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,26.5,35.5,33.96226415,3.465,5.545,60.02886003
L2,2,quepr,2.174917492,32.86,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,43.9,50.5,15.03416856,5.25,7.38,40.57142857
L3,2,pinba,0.507775524,38.28,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,15.2,78.5,416.4473684,4.2,10.145,141.547619
