Tree ID,Site,Species,Root-shoot ratio,Total Biomass (gm),ANP Native,Biome,Range,Gymno/Angio,Range Gymno/Angio,Alive or Dead,Stem Height (2017 May),Stem Height (2019 August),Relative Height (%),Stem Dia (2017 May),Stem dia (2019 August),Relative Dia (%)
L4,2,quepr,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
L5,2,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
L6,2,picru,,,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,N/A,,,,,,
M1,2,abiba,0.717041801,9.29,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,15.3,21,37.25490196,3.675,5.315,44.62585034
M2,2,picgl,0.53164557,3.56,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,18.7,25.5,36.36363636,2.695,3.205,18.92393321
M3,2,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
M4,2,pinvi,0.64978903,5.94,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,7.5,27,260,2.45,3.855,57.34693878
M5,2,robps,0.323375712,224.48,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,31.2,170,444.8717949,2.555,16.815,558.1213307
N1,2,pinta,0.642447419,32.99,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,13.3,43,223.3082707,3.5,8.115,131.8571429
N2,2,queru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
N3,2,pinri,0.657370518,21.08,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,20.2,52,157.4257426,3.745,7.64,104.0053405
N4,2,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
N5,2,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,14.6,31.5,115.7534247,3.185,3.905,22.60596546
O1,2,pinvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,10.1,48,375.2475248,2.45,7.075,188.7755102
O2,2,picru,1.058479532,4.79,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,22.9,23.5,2.620087336,2.52,3.31,31.34920635
O3,2,abiba,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,0,,,,,,
O4,2,junvi,1.019230769,7.31,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,21,36,71.42857143,2.1,3.5,66.66666667
O5,2,pinst,1.252225519,13.45,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,16.1,29.5,83.22981366,3.745,7.145,90.78771696
P1,2,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
P2,2,junvi,0.696428571,18.12,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,40.5,51.5,27.16049383,3.325,5.5,65.41353383
P3,2,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
P4,2,queru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,19.5,24.5,25.64102564,2.975,3.465,16.47058824
P5,2,pruse,1.628712871,6.74,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,35.8,24,-32.96089385,2.555,2.92,14.28571429
Q1,2,queru,2.048780488,8.91,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,36.1,45.5,26.03878116,5.145,6.245,21.37998056
Q2,2,robps,0.362451219,2413.84,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,37.5,400,966.6666667,6.195,46.685,653.5916061
Q3,2,pruse,0.881773399,9.35,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,51.3,47,-8.382066277,3.5,3.57,2
Q4,2,abiba,0.551451187,13.7,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,17.8,23.5,32.02247191,2.975,6.085,104.5378151
Q5,2,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
R2,2,quepr,1.259276656,57.95,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,62.7,30,-52.15311005,5.88,9.32,58.50340136
R3,2,pinba,0.525477707,37.11,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,29.2,28,-4.109589041,6.335,12.82,102.3677979
R4,2,pinri,1.167913549,59.24,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,24.3,26,6.995884774,4.62,11.755,154.4372294
R5,2,queal,2.752136752,15.69,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,31,11,-64.51612903,4.13,5.505,33.29297821
A2,3,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
A3,3,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
A4,3,abiba,0.839124839,25.53,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,29,29.5,1.724137931,3.395,7.935,133.7260677
A5,3,junvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
B1,3,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
B2,3,pinvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
B3,3,pinri,0.782492423,158.28,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,33,72.5,119.6969697,6.335,16.545,161.1681137
