Site,Species,Sapling,Diam1a,Diam1b,DiamDate1,DiamEnd1,DiamDateEnd1,Diam2a,Diam2b,DiamDate2,Diam2notes,Diam3a,Diam3b,DiamDate3,Diam3notes,Diam4a,Diam4b,DiamDate4,Diam4notes
2,pinst,2-K6 pinst,6.86,5.74,5/11/17,6.01,9/14/17,6.62,7.23,6/7/18,,7.16,7.46,5/29/19,,6.75,6.92,8/13/19,
2,picgl,2-L1 picgl,3.5,3.43,5/11/17,4.63,9/14/17,4.84,4.53,6/7/18,,5.39,5.34,5/29/19,,5.52,5.57,8/13/19,
2,quepr,2-L2 quepr,5.6,4.9,5/11/17,6.65,9/14/17,7.53,7.28,6/7/18,,7.73,8.41,5/29/19,,7.29,7.47,8/13/19,
2,pinba,2-L3 pinba,4.2,4.2,5/11/17,6.21,9/14/17,8.27,8.37,6/7/18,,9.14,9.33,5/29/19,,10.24,10.05,8/13/19,
2,quepr,2-L4 quepr,5.95,5.6,5/11/17,8.28,9/14/17,8.85,7.54,6/7/18,,7.75,7.88,5/29/19,,7.84,7.5,8/13/19,
2,aceru,2-L5 aceru,2.8,3.01,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,planted,,,8/13/19,
2,picru,2-L6 picru,3.01,3.15,5/11/17,3.88,9/14/17,,,6/7/18,,,,5/29/19,planted,,,8/13/19,
2,abiba,2-M1 abiba,3.85,3.5,5/11/17,5.34,9/14/17,4.77,3.88,6/7/18,,5.47,5.41,5/29/19,,5.33,5.3,8/13/19,
2,picgl,2-M2 picgl,2.8,2.59,5/11/17,3.58,9/14/17,2.9,3.18,6/7/18,,2.18,3.39,5/29/19,,3.25,3.16,8/13/19,
2,aceru,2-M3 aceru,2.8,2.66,5/11/17,3.59,9/14/17,3.31,3.47,6/7/18,,3.49,3.59,5/29/19,,,,8/13/19,"dead; 3.12, 3.26"
2,pinvi,2-M4 pinvi,2.45,2.45,5/11/17,3.9,9/14/17,3.58,3.25,6/7/18,,3.43,3.48,5/29/19,,3.77,3.94,8/13/19,
2,robps,2-M5 robps,2.52,2.59,5/11/17,5.99,9/14/17,7.55,7,6/7/18,,14.04,14.62,5/29/19,,17.51,16.12,8/13/19,
2,robps,2-M6 robps,,,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,,,,8/13/19,fraxinus
2,pinta,2-N1 pinta,3.5,3.5,5/11/17,4.72,9/14/17,6.53,5.67,6/7/18,,7.37,7.43,5/29/19,,8.17,8.06,8/13/19,
2,queru,2-N2 queru,3.85,3.5,5/11/17,4.62,9/14/17,4.49,4.87,6/7/18,,4.37,4.8,5/29/19,,4.34,4.11,8/13/19,
2,pinri,2-N3 pinri,3.64,3.85,5/11/17,5.55,9/14/17,7.12,6.29,6/7/18,,8.25,7.82,5/29/19,,8.08,7.2,8/13/19,
2,queal,2-N4 queal,3.5,3.15,5/11/17,3.4,9/14/17,4.01,3.3,6/7/18,,,,5/29/19,uprooted,,,8/13/19,
2,pinta,2-N5 pinta,3.15,3.22,5/11/17,4.34,9/14/17,3.99,4.09,6/7/18,,4.17,3.98,5/29/19,,3.76,4.05,8/13/19,
2,pinvi,2-O1 pinvi,2.45,2.45,5/11/17,3.66,9/14/17,4.03,4.57,6/7/18,,6.03,5.76,5/29/19,,6.94,7.21,8/13/19,
2,picru,2-O2 picru,2.45,2.59,5/11/17,3.53,9/14/17,3.16,3.1,6/7/18,,3.41,3.44,5/29/19,,3.29,3.33,8/13/19,
2,abiba,2-O3 abiba,3.5,3.5,5/11/17,5.17,9/14/17,3.63,4.64,6/7/18,,3.94,3.58,5/29/19,,4.37,3.31,8/13/19,
2,junvi,2-O4 junvi,2.1,2.1,5/11/17,2.09,9/14/17,3.07,3.04,6/7/18,,3.71,3.47,5/29/19,,3.54,3.46,8/13/19,
2,pinst,2-O5 pinst,3.64,3.85,5/11/17,6.65,9/14/17,6.45,7.24,6/7/18,,7.23,7.7,5/29/19,,7.38,6.91,8/13/19,
2,lirtu,2-P1 lirtu,5.25,5.25,5/11/17,7.33,9/14/17,7.04,6.77,6/7/18,,,,5/29/19,,,,8/13/19,"dead: 5,89, 5.48"
2,junvi,2-P2 junvi,3.15,3.5,5/11/17,3.9,9/14/17,4.14,3.96,6/7/18,,5.25,5.25,5/29/19,,5.62,5.38,8/13/19,
